tool,case,targetClass,budgetSec,run,seed,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,sourceDir,preparedDir
QwenLLM,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,1,101,2,14,0,0,93.33,90.0,91.67,100.0,9,9,0,0,0,120.003335100002,10.168,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\pilot-v2\QwenLLM\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\LongestIncreasingSubsequence\120\run1-seed101
QwenLLM,LruCache,com.viktor.lab4.LruCache,120,1,101,0,0,0,0,,,,,,,,,,120.01361949999409,0,EMPTY,No candidate passed validation within budget,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\pilot-v2\QwenLLM\LruCache\120\run1-seed101,
QwenLLM,PricingEngine,com.viktor.lab4.PricingEngine,120,1,101,0,0,0,0,,,,,,,,,,120.01597580000089,0,EMPTY,No candidate passed validation within budget,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\pilot-v2\QwenLLM\PricingEngine\120\run1-seed101,
QwenLLM,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,1,101,0,0,0,0,,,,,,,,,,120.02761479999754,0,EMPTY,No candidate passed validation within budget,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\pilot-v2\QwenLLM\SimpleJsonParser\120\run1-seed101,
