program_class,generation_time_sec,runs,samples,mean_max_jaccard,variance,stddev,ci_lower,ci_upper,mean_max_dice,variance_dice,stddev_dice,ci_lower_dice,ci_upper_dice
LongestIncreasingSubsequence,120,3,3,0.890356,0.004876,0.069825,0.716888,1.063825,0.922242,0.003288,0.057342,0.779786,1.064699
LruCache,120,3,3,0.921341,0.000929,0.030485,0.845606,0.997076,0.95589,0.000364,0.01907,0.908513,1.003268
PricingEngine,120,3,3,0.876491,0.00214,0.046265,0.761554,0.991428,0.910536,0.001282,0.035811,0.82157,0.999502
SimpleJsonParser,120,3,3,0.521558,0.000205,0.014312,0.486003,0.557113,0.631648,0.000108,0.010398,0.605815,0.65748
