tool_a,tool_b,program_class,tool_a_budget_sec,run,seed,tool_a_tests,tool_b_tests,tool_a_to_tool_b_jaccard,tool_b_to_tool_a_jaccard,mean_max_jaccard,tool_a_to_tool_b_dice,tool_b_to_tool_a_dice,mean_max_dice,tool_b_budget_sec
Randoop,QwenLLM,LongestIncreasingSubsequence,120,1,101,2571,10,0.9872404660035932,1.0,0.9936202330017966,0.99313121649124,1.0,0.99656560824562,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,2,202,2583,10,0.9837011227255131,0.7238095238095238,0.8537553232675185,0.9912963679901349,0.788888888888889,0.8900926284395119,1800
Randoop,QwenLLM,LongestIncreasingSubsequence,120,3,303,1309,10,0.9861762886972971,0.8400000000000001,0.9130881443486486,0.9923464335229042,0.8571428571428571,0.9247446453328807,1800
Randoop,QwenLLM,LruCache,120,1,101,992,10,0.892465990550668,1.0,0.946232995275334,0.925181974386972,1.0,0.962590987193486,1800
Randoop,QwenLLM,LruCache,120,2,202,1285,10,0.9108320559682427,1.0,0.9554160279841213,0.9497013702417098,1.0,0.9748506851208549,1800
Randoop,QwenLLM,LruCache,120,3,303,333,8,0.790790790790791,0.8721590909090909,0.8314749408499409,0.8759318141671083,0.9266917293233083,0.9013117717452084,1800
Randoop,QwenLLM,PricingEngine,120,1,101,925,5,0.7034205912441207,0.703781512605042,0.7036010519245813,0.8063685444467449,0.7887179487179488,0.7975432465823469,1800
Randoop,QwenLLM,PricingEngine,120,2,202,999,5,0.3925594267422939,0.6240476190476191,0.5083035228949565,0.5330707665419563,0.7350961538461538,0.634083460194055,1800
Randoop,QwenLLM,PricingEngine,120,3,303,1118,7,0.4505313760694839,0.956056616194865,0.7032939961321745,0.5894862477958713,0.976561369664818,0.7830238087303447,1800
Randoop,QwenLLM,SimpleJsonParser,120,1,101,4,4,0.28154761904761905,0.41204954954954953,0.3467985842985843,0.4078319882611885,0.5820592062459337,0.4949455972535611,1800
Randoop,QwenLLM,SimpleJsonParser,120,2,202,4,4,0.27715572715572717,0.38288288288288286,0.330019305019305,0.4036029706945002,0.5518867924528301,0.4777448815736651,1800
Randoop,QwenLLM,SimpleJsonParser,120,3,303,4,6,0.28154761904761905,0.4188438438438438,0.35019573144573146,0.4078319882611885,0.5892973324658425,0.4985646603635155,1800
