"tool","case","targetClass","budgetSec","run","seed","generatedTestFiles","testsExecuted","testFailures","testSkipped","lineCoveragePct","branchCoveragePct","instructionCoveragePct","mutationScorePct","mutationsTotal","mutationsKilled","mutationsSurvived","mutationsTimedOut","mutationsNoCoverage","generationElapsedSec","analysisElapsedSec","status","error","sourceDir","preparedDir"
"EvoSuite","LruCache","com.viktor.lab4.LruCache","60","3","303","2","8","0","0","100","100","100","83,33","6","5","1","0","0","73,379","8,855","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LruCache\60\run3-seed303","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LruCache\\60\\run3-seed303"
"EvoSuite","LruCache","com.viktor.lab4.LruCache","120","1","101","2","9","0","0","100","100","100","83,33","6","5","1","0","0","134,007","8,045","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LruCache\120\run1-seed101","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LruCache\\120\\run1-seed101"
"EvoSuite","LruCache","com.viktor.lab4.LruCache","120","2","202","2","10","0","0","100","100","100","83,33","6","5","1","0","0","134,546","8,254","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LruCache\120\run2-seed202","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LruCache\\120\\run2-seed202"
"EvoSuite","LruCache","com.viktor.lab4.LruCache","120","3","303","2","8","0","0","100","100","100","83,33","6","5","1","0","0","292,657","8,468","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\LruCache\120\run3-seed303","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\LruCache\\120\\run3-seed303"
"EvoSuite","PricingEngine","com.viktor.lab4.PricingEngine","30","1","101","2","24","0","0","97,73","97,62","98,98","74,47","47","35","12","0","0","45,148","9,166","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\PricingEngine\30\run1-seed101","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\PricingEngine\\30\\run1-seed101"
"EvoSuite","PricingEngine","com.viktor.lab4.PricingEngine","30","2","202","2","23","0","0","97,73","97,62","98,98","85,11","47","40","7","0","0","44,603","9,202","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\PricingEngine\30\run2-seed202","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\PricingEngine\\30\\run2-seed202"
"EvoSuite","PricingEngine","com.viktor.lab4.PricingEngine","30","3","303","2","24","0","0","97,73","97,62","98,98","82,98","47","39","8","0","0","52,202","9,134","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\PricingEngine\30\run3-seed303","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\PricingEngine\\30\\run3-seed303"
"EvoSuite","PricingEngine","com.viktor.lab4.PricingEngine","60","1","101","2","24","0","0","97,73","97,62","98,98","74,47","47","35","12","0","0","83,159","9,226","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\PricingEngine\60\run1-seed101","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\PricingEngine\\60\\run1-seed101"
"EvoSuite","PricingEngine","com.viktor.lab4.PricingEngine","60","2","202","2","23","0","0","97,73","97,62","98,98","89,36","47","42","5","0","0","82,805","9,301","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\PricingEngine\60\run2-seed202","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\PricingEngine\\60\\run2-seed202"
"EvoSuite","PricingEngine","com.viktor.lab4.PricingEngine","60","3","303","2","24","0","0","97,73","97,62","98,98","82,98","47","39","8","0","0","76,789","9,305","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\PricingEngine\60\run3-seed303","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\PricingEngine\\60\\run3-seed303"
"EvoSuite","PricingEngine","com.viktor.lab4.PricingEngine","120","1","101","2","23","0","0","97,73","97,62","98,98","82,98","47","39","8","0","0","134,189","8,683","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\PricingEngine\120\run1-seed101","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\PricingEngine\\120\\run1-seed101"
"EvoSuite","PricingEngine","com.viktor.lab4.PricingEngine","120","2","202","2","23","0","0","97,73","97,62","98,98","76,6","47","36","11","0","0","140,818","8,946","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\PricingEngine\120\run2-seed202","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\PricingEngine\\120\\run2-seed202"
"EvoSuite","PricingEngine","com.viktor.lab4.PricingEngine","120","3","303","2","23","0","0","97,73","97,62","98,98","82,98","47","39","8","0","0","143,249","8,937","OK","","C:\Users\user\Documents\Polytech\Testing\Lab4_3\generated-tests\EvoSuite\PricingEngine\120\run3-seed303","C:\Users\user\Documents\Polytech\Testing\Lab4_3\build\\analysis-work\\EvoSuite\\PricingEngine\\120\\run3-seed303"
