program_class,generation_time_sec,run,evosuite_tests,randoop_tests,mean_max_jaccard,mean_max_dice
PricingEngine,120,6,24,1457,0.6052358101501246,0.6434923789906656
PricingEngine,120,7,25,1579,0.5082587853323147,0.543793994108204
PricingEngine,120,8,23,2016,0.5071804083952421,0.5447890633706307
PricingEngine,120,9,24,2506,0.5785167897804283,0.5987983689146633
PricingEngine,120,10,25,2895,0.5963015690079585,0.614254811083824
SimpleJsonParser,30,1,15,4,0.8142857142857144,0.871111111111111
SimpleJsonParser,30,2,16,4,0.8258928571428572,0.8791666666666667
SimpleJsonParser,30,3,14,4,0.8418367346938777,0.8904761904761903
SimpleJsonParser,30,4,15,4,0.8523809523809525,0.8977777777777778
SimpleJsonParser,30,5,14,4,0.8010204081632654,0.8619047619047617
SimpleJsonParser,30,6,14,4,0.8418367346938777,0.8904761904761903
SimpleJsonParser,30,7,14,4,0.7602040816326532,0.8333333333333331
SimpleJsonParser,30,8,13,4,0.8296703296703297,0.8820512820512819
SimpleJsonParser,30,9,12,4,0.8630952380952381,0.9055555555555554
SimpleJsonParser,30,10,14,4,0.8010204081632654,0.8619047619047617
SimpleJsonParser,60,1,16,4,0.8258928571428572,0.8791666666666667
SimpleJsonParser,60,2,17,4,0.8361344537815126,0.8862745098039215
SimpleJsonParser,60,3,16,4,0.8616071428571429,0.9041666666666667
SimpleJsonParser,60,4,16,4,0.8616071428571429,0.9041666666666667
SimpleJsonParser,60,5,16,4,0.7901785714285715,0.8541666666666667
SimpleJsonParser,60,6,14,4,0.8418367346938777,0.8904761904761903
SimpleJsonParser,60,7,14,4,0.7602040816326532,0.8333333333333333
SimpleJsonParser,60,8,14,4,0.8418367346938777,0.8904761904761903
SimpleJsonParser,60,9,14,4,0.8826530612244898,0.919047619047619
SimpleJsonParser,60,10,17,4,0.8361344537815126,0.8862745098039215
SimpleJsonParser,120,1,16,4,0.8258928571428572,0.8791666666666667
SimpleJsonParser,120,2,16,4,0.8616071428571429,0.9041666666666667
SimpleJsonParser,120,3,17,4,0.8697478991596639,0.9098039215686274
SimpleJsonParser,120,4,17,4,0.8361344537815126,0.8862745098039215
SimpleJsonParser,120,5,17,4,0.8025210084033613,0.8627450980392157
SimpleJsonParser,120,6,16,4,0.8616071428571429,0.9041666666666667
SimpleJsonParser,120,7,15,4,0.8142857142857144,0.8711111111111111
SimpleJsonParser,120,8,15,4,0.8523809523809525,0.8977777777777777
SimpleJsonParser,120,9,16,4,0.8616071428571429,0.9041666666666667
SimpleJsonParser,120,10,17,4,0.8361344537815126,0.8862745098039215
