tool,budgetSec,meanLineCoveragePct,meanBranchCoveragePct,meanInstructionCoveragePct
EvoSuite,30,100.0,100.0,100.0
EvoSuite,60,100.0,100.0,100.0
EvoSuite,120,100.0,100.0,100.0
Randoop,30,93.64,100.0,93.95
Randoop,60,93.64,100.0,93.95
Randoop,120,94.55,100.0,95.12
