program_class,generation_time_sec,mean_max_jaccard
LongestIncreasingSubsequence,30,0.882863
LongestIncreasingSubsequence,60,0.886303
LongestIncreasingSubsequence,120,0.90522
LruCache,30,0.907023
LruCache,60,0.90463
LruCache,120,0.908788
PricingEngine,30,0.357725
PricingEngine,60,0.365083
PricingEngine,120,0.378212
SimpleJsonParser,30,0.703229
SimpleJsonParser,60,0.708571
SimpleJsonParser,120,0.712763
