tool,budgetSec,meanLineCoveragePct,meanBranchCoveragePct,meanInstructionCoveragePct
EvoSuite,30,100.0,100.0,100.0
EvoSuite,60,100.0,100.0,100.0
EvoSuite,120,100.0,100.0,100.0
Randoop,30,98.67,97.0,99.33
Randoop,60,100.0,99.0,100.0
Randoop,120,100.0,100.0,100.0
