tool,case,targetClass,budgetSec,run,seed,measurementScope,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,generationBudgetKind,generationStopReason,generationTargetTests,sourceDir,preparedDir,buildDir,uniqueTestMethods
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,1,101,class-family,2,9,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,8.247,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run1-seed101\class-family-v1,9
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,2,202,class-family,2,10,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,8.159,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run2-seed202\class-family-v1,10
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,3,303,class-family,2,8,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,8.363,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run3-seed303\class-family-v1,8
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,4,404,class-family,2,8,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,8.653,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run4-seed404\class-family-v1,8
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,5,505,class-family,2,9,0,0,100.0,100.0,100.0,77.78,9,7,2,0,0,,8.977,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run5-seed505\class-family-v1,9
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,6,606,class-family,2,9,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,9.01,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run6-seed606\class-family-v1,9
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,7,707,class-family,2,7,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,9.384,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run7-seed707\class-family-v1,7
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,8,808,class-family,2,7,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,9.12,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run8-seed808\class-family-v1,7
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,9,909,class-family,2,9,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,9.309,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run9-seed909\class-family-v1,9
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,10,10010,class-family,2,8,0,0,100.0,100.0,100.0,77.78,9,7,2,0,0,,8.711,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run10-seed10010\class-family-v1,8
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,1,101,class-family,2,23,0,0,97.92,97.62,99.15,82.98,47,39,8,0,0,,8.886,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run1-seed101\class-family-v1,23
