timestamp,tool,targetClass,budgetSec,run,seed,status,elapsedSec,outputDir,error
2026-09-09T19:22:41.427708,QwenLLM,com.viktor.lab4.PricingEngine,1800,6,606,OK,1800.05,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\PricingEngine\1800\run6-seed606,
2026-09-09T19:51:00.248384,QwenLLM,com.viktor.lab4.SimpleJsonParser,1800,6,606,OK,1698.819,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\SimpleJsonParser\1800\run6-seed606,
2026-09-09T19:53:36.456549,QwenLLM,com.viktor.lab4.LongestIncreasingSubsequence,1800,7,707,OK,152.502,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LongestIncreasingSubsequence\1800\run7-seed707,
2026-09-09T20:01:44.890374,QwenLLM,com.viktor.lab4.LruCache,1800,7,707,OK,488.433,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LruCache\1800\run7-seed707,
2026-09-09T20:31:44.905085,QwenLLM,com.viktor.lab4.PricingEngine,1800,7,707,OK,1800.014,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\PricingEngine\1800\run7-seed707,
2026-09-09T20:56:03.933532,QwenLLM,com.viktor.lab4.SimpleJsonParser,1800,7,707,OK,1459.027,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\SimpleJsonParser\1800\run7-seed707,
2026-09-09T21:02:35.316797,QwenLLM,com.viktor.lab4.LongestIncreasingSubsequence,1800,8,808,OK,389.715,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LongestIncreasingSubsequence\1800\run8-seed808,
2026-09-09T21:25:52.917469,QwenLLM,com.viktor.lab4.LruCache,1800,8,808,OK,1397.598,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LruCache\1800\run8-seed808,
2026-09-09T21:55:52.942860,QwenLLM,com.viktor.lab4.PricingEngine,1800,8,808,OK,1800.023,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\PricingEngine\1800\run8-seed808,
2026-09-09T22:25:52.985139,QwenLLM,com.viktor.lab4.SimpleJsonParser,1800,8,808,OK,1800.04,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\SimpleJsonParser\1800\run8-seed808,
2026-09-09T22:36:05.434720,QwenLLM,com.viktor.lab4.LongestIncreasingSubsequence,1800,9,909,OK,609.694,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LongestIncreasingSubsequence\1800\run9-seed909,
2026-09-09T22:46:53.608591,QwenLLM,com.viktor.lab4.LruCache,1800,9,909,OK,648.172,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LruCache\1800\run9-seed909,
2026-09-09T23:16:53.621608,QwenLLM,com.viktor.lab4.PricingEngine,1800,9,909,OK,1800.012,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\PricingEngine\1800\run9-seed909,
2026-09-09T23:46:46.792543,QwenLLM,com.viktor.lab4.SimpleJsonParser,1800,9,909,OK,1793.169,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\SimpleJsonParser\1800\run9-seed909,
2026-09-09T23:56:20.186505,QwenLLM,com.viktor.lab4.LongestIncreasingSubsequence,1800,10,10010,OK,570.929,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LongestIncreasingSubsequence\1800\run10-seed10010,
2026-09-10T00:19:23.108987,QwenLLM,com.viktor.lab4.LruCache,1800,10,10010,OK,1382.919,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LruCache\1800\run10-seed10010,
2026-09-10T00:49:23.163518,QwenLLM,com.viktor.lab4.PricingEngine,1800,10,10010,OK,1800.052,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\PricingEngine\1800\run10-seed10010,
2026-09-10T01:19:16.606014,QwenLLM,com.viktor.lab4.SimpleJsonParser,1800,10,10010,OK,1793.438,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\SimpleJsonParser\1800\run10-seed10010,
