program_class,generation_time_sec,mean_max_jaccard
LongestIncreasingSubsequence,30,0.79994
LongestIncreasingSubsequence,60,0.810476
LongestIncreasingSubsequence,120,0.853333
LruCache,30,0.942901
LruCache,60,0.944297
LruCache,120,0.954455
PricingEngine,30,0.507242
PricingEngine,60,0.514703
PricingEngine,120,0.544701
SimpleJsonParser,30,0.823124
SimpleJsonParser,60,0.833809
SimpleJsonParser,120,0.842192
