tool,budgetSec,meanLineCoveragePct,meanBranchCoveragePct,meanInstructionCoveragePct
EvoSuite,30,100.0,100.0,100.0
EvoSuite,60,100.0,100.0,100.0
EvoSuite,120,100.0,100.0,100.0
Randoop,30,33.33,25.0,31.25
Randoop,60,33.33,25.0,31.25
Randoop,120,33.33,25.0,31.25
