program_class,generation_time_sec,run,seed,evosuite_tests,randoop_tests,evosuite_to_randoop_jaccard,randoop_to_evosuite_jaccard,mean_max_jaccard,evosuite_to_randoop_dice,randoop_to_evosuite_dice,mean_max_dice
LongestIncreasingSubsequence,120,1,101,4,2571,1.0,0.9176084903039397,0.9588042451519698,1.0,0.9566141682049888,0.9783070841024943
LongestIncreasingSubsequence,120,2,202,4,2583,0.6547619047619048,0.9837011227255131,0.819231513743709,0.7361111111111112,0.9912963679901349,0.8637037395506231
LongestIncreasingSubsequence,120,3,303,3,1309,0.7999999999999999,0.9860671541343811,0.8930335770671904,0.8571428571428571,0.9922898452310217,0.9247163511869394
LongestIncreasingSubsequence,120,4,404,4,2764,0.85,0.9787213148645857,0.9143606574322929,0.8928571428571428,0.9887058859562478,0.9407815144066953
LongestIncreasingSubsequence,120,5,505,3,2131,1.0,0.9521038636008134,0.9760519318004067,1.0,0.974659784138902,0.987329892069451
LongestIncreasingSubsequence,120,6,606,4,650,0.6547619047619048,0.98,0.8173809523809523,0.7361111111111112,0.9886161986161986,0.8623636548636548
LongestIncreasingSubsequence,120,7,707,4,534,1.0,0.9344658462635992,0.9672329231317995,1.0,0.9643847967818006,0.9821923983909002
LongestIncreasingSubsequence,120,8,808,4,1448,0.85,0.9624144961852145,0.9062072480926072,0.8928571428571428,0.9799248735712824,0.9363910082142126
LongestIncreasingSubsequence,120,9,909,5,1676,0.7238095238095238,0.9447522445732471,0.8342808841913855,0.788888888888889,0.9707274185197813,0.8798081537043352
LongestIncreasingSubsequence,120,10,10010,3,1696,1.0,0.9312415768194072,0.9656207884097037,1.0,0.9636383772586604,0.9818191886293302
LruCache,120,1,101,9,992,1.0,0.8845409742587161,0.9422704871293581,1.0,0.9373811106833178,0.9686905553416589
LruCache,120,2,202,10,1285,0.9875,0.8832753886839488,0.9353876943419744,0.9933333333333334,0.9366819275338629,0.9650076304335982
LruCache,120,3,303,8,333,0.8458333333333332,0.9268971352304686,0.8863652342819008,0.9088235294117647,0.9591214841214842,0.9339725067666245
LruCache,120,4,404,8,2259,1.0,0.8541114522190218,0.9270557261095109,1.0,0.9206084272817342,0.960304213640867
LruCache,120,5,505,9,1444,0.9621212121212123,0.8578747256898226,0.9099979689055174,0.9798941798941799,0.9226198489875775,0.9512570144408787
LruCache,120,6,606,9,1893,1.0,0.8758106497012995,0.9379053248506497,1.0,0.9325265229761016,0.9662632614880509
LruCache,120,7,707,7,1809,1.0,0.8705919456748644,0.9352959728374322,1.0,0.9295283658860509,0.9647641829430255
LruCache,120,8,808,7,349,0.8623376623376624,0.9339439214081048,0.8981407918728836,0.9178338001867413,0.9631180662699289,0.9404759332283351
LruCache,120,9,909,9,564,0.8592592592592592,0.89321245637735,0.8762358578183046,0.9163398692810456,0.9409324422622295,0.9286361557716376
LruCache,120,10,10010,8,1157,0.9761363636363636,0.8624086587569733,0.9192725111966684,0.987468671679198,0.9252238830026212,0.9563462773409096
PricingEngine,120,1,101,23,925,0.8377999268495971,0.9575746494171731,0.897687288133385,0.8888078937190286,0.9748547002635712,0.9318312969912999
PricingEngine,120,2,202,23,999,0.9079352322159226,0.7389165178380864,0.8234258750270045,0.9428062810587561,0.7955774403416226,0.8691918607001894
PricingEngine,120,3,303,23,1118,0.9793823770458493,0.8373374743921255,0.9083599257189874,0.9891937936939909,0.8719767781303033,0.9305852859121471
PricingEngine,120,4,404,23,2264,0.913016453186732,0.9591626836326484,0.9360895684096902,0.9481850483955974,0.9738683645773719,0.9610267064864846
PricingEngine,120,5,505,24,2158,0.9188378965344691,0.9743763406426204,0.9466071185885447,0.9485062102721097,0.9834251341876008,0.9659656722298553
PricingEngine,120,6,606,24,1457,0.9291467549280048,0.8596350717143305,0.8943909133211676,0.9603697429646266,0.8906712688219861,0.9255205058933064
PricingEngine,120,7,707,25,1579,0.9219400460453092,0.9828268082909596,0.9523834271681344,0.9534350783562402,0.9877664780493134,0.9706007782027768
PricingEngine,120,8,808,23,2016,0.8966663644009182,0.958013422980528,0.9273398936907231,0.9305767151064078,0.9749968317450378,0.9527867734257228
PricingEngine,120,9,909,24,2506,0.9517100474917811,0.9824399122966772,0.9670749798942291,0.9714794218361327,0.9877345481449463,0.9796069849905396
PricingEngine,120,10,10010,25,2895,0.9670748467750866,0.7094291763346033,0.838252011554845,0.9820424204803675,0.7687974028237813,0.8754199116520744
SimpleJsonParser,120,1,101,16,4,0.5266161282714383,0.4880952380952381,0.5073556831833382,0.6767714051357682,0.5661764705882353,0.6214739378620018
SimpleJsonParser,120,2,202,16,4,0.554588775168545,0.4880952380952381,0.5213420066318916,0.6962499383635321,0.5661764705882353,0.6312132044758837
SimpleJsonParser,120,3,303,17,4,0.5441755264858982,0.5277777777777778,0.535976652131838,0.6907630971813716,0.59375,0.6422565485906858
SimpleJsonParser,120,4,404,17,4,0.5424570947103868,0.4880952380952381,0.5152761664028125,0.6860231252375865,0.5661764705882353,0.6260997979129108
SimpleJsonParser,120,5,505,17,4,0.5154692704427605,0.4880952380952381,0.5017822542689993,0.666631439658697,0.5661764705882353,0.6164039551234661
SimpleJsonParser,120,6,606,16,4,0.5559044083262834,0.4880952380952381,0.5219998232107608,0.6978344826904559,0.5661764705882353,0.6320054766393456
SimpleJsonParser,120,7,707,15,4,0.5332578866725208,0.4880952380952381,0.5106765623838795,0.6821589484890901,0.5661764705882353,0.6241677095386626
SimpleJsonParser,120,8,808,15,4,0.5458097903210686,0.4880952380952381,0.5169525142081534,0.6889742801672318,0.5661764705882353,0.6275753753777336
SimpleJsonParser,120,9,909,16,4,0.5416389583682817,0.4880952380952381,0.5148670982317599,0.6893271534039458,0.5661764705882353,0.6277518119960905
SimpleJsonParser,120,10,10010,17,4,0.5587399678924446,0.4880952380952381,0.5234176029938413,0.7020592810327018,0.5661764705882353,0.6341178758104685
