tool,case,targetClass,budgetSec,run,seed,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,sourceDir,preparedDir
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,4,404,4,2606,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,87.85,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\60\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/60/run4-seed404
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,5,505,3,1802,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,71.27,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\60\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/60/run5-seed505
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,6,606,2,528,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,65.913,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\60\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/60/run6-seed606
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,7,707,2,402,0,0,100.0,90.0,100.0,88.89,9,8,1,0,0,,75.399,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\60\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/60/run7-seed707
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,8,808,2,502,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,67.367,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\60\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/60/run8-seed808
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,9,909,3,1192,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,99.215,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\60\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/60/run9-seed909
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,10,10010,3,1418,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,72.173,81.757,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\60\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/60/run10-seed10010
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,1,101,7,5142,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,116.88,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/120/run1-seed101
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,2,202,7,5166,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,125.216,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/120/run2-seed202
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,3,303,4,2618,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,93.175,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\Randoop\LongestIncreasingSubsequence\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/Randoop/LongestIncreasingSubsequence/120/run3-seed303
