tool,case,targetClass,budgetSec,run,seed,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,sourceDir,preparedDir
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,2,202,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,46.183,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/60/run2-seed202
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,3,303,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,39.598,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/60/run3-seed303
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,4,404,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,40.987,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/60/run4-seed404
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,5,505,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,42.527,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/60/run5-seed505
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,6,606,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,47.404,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/60/run6-seed606
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,7,707,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,61.687,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/60/run7-seed707
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,8,808,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,49.993,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/60/run8-seed808
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,9,909,2,5,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,49.687,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/60/run9-seed909
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,60,10,10010,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,67.415,50.729,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\60\run10-seed10010,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/60/run10-seed10010
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,1,101,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,58.397,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/120/run1-seed101
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,2,202,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,37.351,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run2-seed202,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/120/run2-seed202
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,3,303,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,56.114,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run3-seed303,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/120/run3-seed303
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,4,404,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,53.752,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run4-seed404,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/120/run4-seed404
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,5,505,2,3,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,37.748,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run5-seed505,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/120/run5-seed505
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,6,606,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,49.245,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run6-seed606,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/120/run6-seed606
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,7,707,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,57.686,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run7-seed707,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/120/run7-seed707
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,8,808,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,60.122,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run8-seed808,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/120/run8-seed808
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,9,909,2,5,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,38.132,OK,,C:\Users\user\Documents\Polytech\Testing\Lab4up\generated-tests\EvoSuite\LongestIncreasingSubsequence\120\run9-seed909,C:\Users\user\Documents\Polytech\Testing\Lab4up\build/analysis-work/EvoSuite/LongestIncreasingSubsequence/120/run9-seed909
