tool_a,tool_b,program_class,tool_a_budget_sec,run,seed,tool_a_tests,tool_b_tests,tool_a_to_tool_b_jaccard,tool_b_to_tool_a_jaccard,mean_max_jaccard,tool_a_to_tool_b_dice,tool_b_to_tool_a_dice,mean_max_dice,tool_b_budget_sec
EvoSuite,QwenLLM,LongestIncreasingSubsequence,120,1,101,4,10,1.0,0.9928571428571429,0.9964285714285714,1.0,0.9962962962962963,0.9981481481481482,1800
EvoSuite,QwenLLM,LruCache,120,1,101,9,10,0.691358024691358,0.8330555555555555,0.7622067901234568,0.7830801007271595,0.9078991596638655,0.8454896301955125,1800
EvoSuite,QwenLLM,PricingEngine,120,1,101,23,5,0.4902146598833953,0.9400000000000001,0.7151073299416977,0.538973583333831,0.9675324675324676,0.7532530254331493,1800
EvoSuite,QwenLLM,SimpleJsonParser,120,1,101,16,4,0.625,1.0,0.8125,0.7529761904761905,1.0,0.8764880952380952,1800
