tool_a,tool_b,program_class,tool_a_budget_sec,run,seed,tool_a_tests,tool_b_tests,tool_a_to_tool_b_jaccard,tool_b_to_tool_a_jaccard,mean_max_jaccard,tool_a_to_tool_b_dice,tool_b_to_tool_a_dice,mean_max_dice,tool_b_budget_sec
Randoop,QwenLLM,LongestIncreasingSubsequence,120,1,101,2571,10,0.9872404660035933,1.0,0.9936202330017967,0.9931312164912399,1.0,0.99656560824562,1800
Randoop,QwenLLM,LruCache,120,1,101,992,10,0.8858030913978494,1.0,0.9429015456989247,0.9215721298076737,1.0,0.9607860649038369,1800
Randoop,QwenLLM,PricingEngine,120,1,101,925,5,0.4589596566612696,0.6848847926267281,0.5719222246439988,0.48449545265372945,0.7751044277360066,0.6297999401948681,1800
Randoop,QwenLLM,SimpleJsonParser,120,1,101,4,4,0.3333333333333333,0.4464285714285714,0.38988095238095233,0.45833333333333326,0.6166666666666666,0.5374999999999999,1800
