tool,case,targetClass,budgetSec,run,seed,measurementScope,generatedTestFiles,testsExecuted,testFailures,testSkipped,lineCoveragePct,branchCoveragePct,instructionCoveragePct,mutationScorePct,mutationsTotal,mutationsKilled,mutationsSurvived,mutationsTimedOut,mutationsNoCoverage,generationElapsedSec,analysisElapsedSec,status,error,generationBudgetKind,generationStopReason,generationTargetTests,sourceDir,preparedDir,buildDir,uniqueTestMethods
EvoSuite,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,1,101,class-family,2,4,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,14.538,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LongestIncreasingSubsequence\120\run1-seed101\class-family-v1,4
EvoSuite,LruCache,com.viktor.lab4.LruCache,120,1,101,class-family,2,9,0,0,100.0,100.0,100.0,88.89,9,8,1,0,0,,13.088,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\LruCache\120\run1-seed101\class-family-v1,9
EvoSuite,PricingEngine,com.viktor.lab4.PricingEngine,120,1,101,class-family,2,23,0,0,97.92,97.62,99.15,82.98,47,39,8,0,0,,13.538,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\PricingEngine\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\PricingEngine\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\PricingEngine\120\run1-seed101\class-family-v1,23
EvoSuite,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,1,101,class-family,2,16,0,0,83.67,76.71,84.34,76.19,63,48,14,1,1,,24.975,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\EvoSuite\SimpleJsonParser\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\EvoSuite\SimpleJsonParser\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\EvoSuite\SimpleJsonParser\120\run1-seed101\class-family-v1,16
Randoop,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,120,1,101,class-family,7,5142,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,84.825,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LongestIncreasingSubsequence\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LongestIncreasingSubsequence\120\run1-seed101\class-family-v1,2571
Randoop,LruCache,com.viktor.lab4.LruCache,120,1,101,class-family,3,1984,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,,36.785,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\LruCache\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\LruCache\120\run1-seed101\class-family-v1,992
Randoop,PricingEngine,com.viktor.lab4.PricingEngine,120,1,101,class-family,3,1850,0,0,83.33,61.9,82.55,65.96,47,31,9,0,7,,31.317,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\PricingEngine\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\PricingEngine\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\PricingEngine\120\run1-seed101\class-family-v1,925
Randoop,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,120,1,101,class-family,2,8,0,0,21.43,20.55,21.93,7.94,63,5,11,0,47,,13.012,OK,,search_time,,,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\suites\Randoop\SimpleJsonParser\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\Randoop\SimpleJsonParser\120\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\3f35b083a3f6\Randoop\SimpleJsonParser\120\run1-seed101\class-family-v1,4
QwenLLM,LongestIncreasingSubsequence,com.viktor.lab4.LongestIncreasingSubsequence,1800,1,101,class-family,10,10,0,0,100.0,100.0,100.0,100.0,9,9,0,0,0,671.9982021000033,12.771,OK,,safety_ceiling,accepted_test_quota,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LongestIncreasingSubsequence\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\LongestIncreasingSubsequence\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\LongestIncreasingSubsequence\1800\run1-seed101\class-family-v1,10
QwenLLM,LruCache,com.viktor.lab4.LruCache,1800,1,101,class-family,10,10,0,0,92.31,75.0,91.94,88.89,9,8,1,0,0,793.4026442000031,13.207,OK,,safety_ceiling,accepted_test_quota,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\LruCache\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\LruCache\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\LruCache\1800\run1-seed101\class-family-v1,10
QwenLLM,PricingEngine,com.viktor.lab4.PricingEngine,1800,1,101,class-family,5,5,0,0,75.0,50.0,77.87,61.7,47,29,7,0,11,1800.032298799997,12.852,OK,,safety_ceiling,time_limit,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\PricingEngine\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\PricingEngine\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\PricingEngine\1800\run1-seed101\class-family-v1,5
QwenLLM,SimpleJsonParser,com.viktor.lab4.SimpleJsonParser,1800,1,101,class-family,4,4,0,0,53.06,45.21,52.29,61.9,63,39,4,0,20,1800.0198664000054,13.384,OK,,safety_ceiling,time_limit,10,C:\Users\user\Documents\Polytech\Testing\Lab4up\src\generatedTest\qwen-v4-20260908-020700-5fa27f\QwenLLM\SimpleJsonParser\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\work\QwenLLM\SimpleJsonParser\1800\run1-seed101,C:\Users\user\Documents\Polytech\Testing\Lab4up\build\analysis\37707d96dced\QwenLLM\SimpleJsonParser\1800\run1-seed101\class-family-v1,4
